Name,Distance (ly),Luminosity (L/Lo),Radius (R/Ro),Temperature (K),Spectral Class
Beta Orionis 95,1103.16,267408.05361,17.3647,46767.0,O5V
Iota Centauri 76,1690.12,51489.86097,8.8746,37032.1,O8V
Alpha Virginis 26,2865.27,38052.99894,6.6781,30695.3,B0V
Epsilon Orionis 98,3224.09,7886.97576,4.3506,22932.9,B2V
Zeta Centauri 12,1522.31,1525.65258,3.0159,17587.1,B5V
Alpha Leonis 69,502.98,653.37722,1.8946,13172.7,B8V
Kappa Tauri 74,772.55,16.25996,2.1951,11432.7,A0V
Beta Lyrae 13,1523.11,17.97503,1.9005,8830.1,A2V
Zeta Lyrae 86,1070.99,14.36655,1.5592,8504.6,A5V
Gamma Virginis 94,982.42,5.3113,1.281,8155.2,A7V
Iota Lyrae 88,1299.97,4.30494,1.114,7528.7,F0V
Zeta Scorpii 35,268.68,2.89576,1.1351,7115.4,F2V
Delta Leonis 51,3539.22,1.78571,1.0214,6555.9,F5V
Iota Virginis 34,2989.12,1.31422,1.0125,6244.8,F8V
Gamma Virginis 64,367.46,0.91885,0.9377,6025.5,G0V
Eta Andromedae 9,1541.65,0.99897,0.9328,5750.3,G2V
Iota Orionis 88,2884.06,0.87043,0.893,5553.4,G5V
Zeta Centauri 38,1741.43,0.69074,0.8763,5475.2,G8V
Epsilon Virginis 98,718.06,0.62816,0.8371,5159.7,K0V
Iota Andromedae 26,614.92,0.4025,0.7339,5033.6,K2V
Iota Orionis 77,1299.46,0.12312,0.6915,4751.5,K5V
Epsilon Lyrae 8,966.67,0.11106,0.5095,4319.6,K8V
Beta Virginis 99,506.71,0.06639,0.542,3891.3,M0V
Iota Andromedae 55,3857.6,0.03787,0.4133,3757.0,M2V
Epsilon Scorpii 86,2600.98,0.00938,0.3018,3242.4,M3.5V
Delta Centauri 44,88.25,0.00377,0.2265,2802.9,M5V
Alpha Lyrae 9,3622.08,0.00087,0.0871,2495.2,M8V
Theta Lyrae 70,532.89,0.00019,0.0943,2189.1,M9V
Theta Scorpii 25,381.11,594237.06214,13.543,44111.0,O5V
Alpha Centauri 8,1612.99,66965.13027,11.4467,35491.9,O8V
Delta Virginis 58,564.34,17339.52143,6.8505,33246.9,B0V
Beta Leonis 71,395.42,7565.01426,4.8515,22088.5,B2V
Beta Lyrae 22,1628.15,1807.12436,3.797,21414.7,B5V
